CGCG074-064    ALMA           178.30             0.15*           2018/12/06_1   0.69580            NA             member.uid___A001_X133d_X41e.CGCG_074-064_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC2273        VLA            43.34              2.66            2002/10/14_1   0.49883            6.065          43.3I0.51_AA274_2002OCT14_1_219.U26.6S.imfits
NGC2273        SMA            225.53             8.29*           2023/03/16_1   5.44929            NA             SMA_this_work
NGC2960        ALMA           85.88              0.45*           2016/06/27_1   1.53885            NA             member.uid___A001_X5a3_X167.ari_l.Mrk_1419_sci.spw0_1_2_3_85885MHz.12m.cont.I.pbcor.fits
NGC2960        ALMA           179.46             0.12*           2018/11/14_1   0.40046            NA             member.uid___A001_X133d_X40a.Mrk_1419_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC2960        SMA            225.53             5.64*           2023/03/16_1   5.24516            NA             SMA_this_work
NGC3079        VLA            1.41               74.90           1996/10/20_1   1.38366            17.680         1.44I1.38_BS0044_1996OCT20_1_141.U40.1S.imfits
NGC3079        VLA            1.43               89.76           1995/07/03_1   1.34285            18.789         1.45I1.35_AB0740_1995JUL03_1_111.U42.6S.imfits
NGC3079        VLA            1.46               164.58          1982/08/02_1   4.25262            67.133         1.47I4.26_DURI_1982AUG02_1_103.U10.9M.imfits
NGC3079        VLA            1.46               188.75          1989/03/16_1   4.13219            16.120         1.49I4.15_AE0058_1989MAR16_1_231.U2.09M.imfits
NGC3079        VLA            1.47               88.18           1983/11/04_1   1.30856            73.796         1.48I1.32_AD0119_1983NOV04_1_81.0U3.30M.imfits
NGC3079        VLA            1.49               83.66           1983/11/30_1   1.34208            18.761         1.51I1.36_AB0182_1983NOV30_1_198.U51.0S.imfits
NGC3079        VLA            1.49               126.52          1987/11/06_1   3.13320            17.499         1.51I3.65_AC0176_1987NOV06_1_3.01M1.03M.imfits
NGC3079        VLA            1.49               207.30          1989/05/16_1   7.69352            16.324         1.51I8.37_TT0001_1989MAY16_1_71.8U4.63M.imfits
NGC3079        VLA            1.49               100.65          1991/08/11_1   1.61591            19.214         1.51I1.85_TT0001_1991AUG11_1_1.46M49.1S.imfits
NGC3079        VLA            1.66               146.46          1997/03/08_1   3.78092            14.032         1.69I3.78_BS044B_1997MAR08_1_111.U2.24M.imfits
NGC3079        VLA            4.71               105.60          1990/12/09_1   4.14804            24.839         4.74I4.15_AC0277_1990DEC09_1_82.2U4.71M.imfits
NGC3079        VLA            4.86               53.74           1983/11/30_1   0.39878            55.852         4.89I0.40_AB0182_1983NOV30_1_162.U46.0S.imfits
NGC3079        VLA            4.86               88.20           1984/03/01_1   2.59793            47.636         4.89I2.87_AB0182_1984MAR01_1_197.U4.55M.imfits
NGC3079        VLA            4.86               52.46           1984/11/10_1   0.40468            53.842         4.89I0.41_AB0182_1984NOV10_1_178.U48.3S.imfits
NGC3079        VLA            4.86               67.36           1984/12/08_1   0.36465            54.449         4.89I0.36_AW0122_1984DEC08_1_160.U29.1S.imfits
NGC3079        VLA            4.86               68.70           1985/03/25_1   0.88213            55.836         4.89I0.97_AB0182_1985MAR25_1_189.U57.7S.imfits
NGC3079        VLA            4.86               71.98           1985/05/19_1   1.37957            55.903         4.89I1.40_AW0125_1985MAY19_1_141.U2.83M.imfits
NGC3079        VLA            4.86               86.69           1985/06/21_1   2.81788            48.495         4.89I3.24_AB0182_1985JUN21_1_234.U4.55M.imfits
NGC3079        VLA            4.86               69.56           1986/05/26_1   0.36995            56.513         4.89I0.37_AW0159_1986MAY26_1_57.8U49.1S.imfits
NGC3079        VLA            4.86               65.37           1987/11/06_1   0.92292            55.520         4.89I1.06_AC0176_1987NOV06_1_95.2U57.2S.imfits
